i t_now Tx Ty Tz theta_x_filt theta_y_filt 
2577 13.872846364974976 -0.039640262549169684 0.03640504049121442 0.0 -0.003849736589796068 0.0018515216183700753 
2578 13.878107786178589 -0.035871876028647894 0.02856970369114073 0.0 -0.002887302442347051 0.0013886412137775563 
2579 13.883508205413818 -0.03304558613825655 0.02269320109108547 0.0 -0.002165476831760288 0.0010414809103331674 
2580 13.888755083084106 -0.03092586872046304 0.018285824141044016 0.0 -0.001624107623820216 0.0007811106827498755 
2581 13.894140243530273 -0.029336080657117902 0.01498029142851293 0.0 -0.0012180807178651621 0.0005858330120624066 
2582 13.89943790435791 -0.02814373960960905 0.012501141894114616 0.0 -0.0009135605383988716 0.000439374759046805 
2583 13.904789209365845 -0.027249483823977416 0.01064177974331588 0.0 -0.0006851704037991538 0.00032953106928510374 
2584 13.910071611404419 -0.02657879198475369 0.009247258130216828 0.0 -0.0005138778028493654 0.0002471483019638278 
2585 13.915417671203613 -0.026075773105335893 0.008201366920392538 0.0 -0.00038540835213702403 0.00018536122647287083 
2586 13.920843601226807 -0.02569850894577255 0.0074169485130243205 0.0 -0.000289056264102768 0.00013902091985465312 
2587 13.926283121109009 -0.025415560826100036 0.006828634707498157 0.0 -0.000216792198077076 0.00010426568989098984 
2588 13.931516408920288 -0.02520334973634565 0.006387399353353536 0.0 -0.00016259414855780702 7.819926741824238e-05 
2589 13.93682074546814 -0.025044191419029867 0.00605647283774507 0.0 -0.00012194561141835526 5.864945056368178e-05 
2590 13.94214653968811 -0.024924822681043027 0.00580827795103872 0.0 -9.145920856376644e-05 4.398708792276134e-05 
2591 13.947505474090576 -0.024835296127552895 0.0056221317860089565 0.0 -6.859440642282484e-05 3.2990315942071e-05 
2592 13.952790975570679 -0.024768151212435297 0.005482522162236636 0.0 -5.144580481711863e-05 2.474273695655325e-05 
2593 13.958097219467163 -0.0247177925260971 0.005377814944407394 0.0 -3.858435361283897e-05 1.855705271741494e-05 
2594 13.96336054801941 -0.024680023511343453 0.0052992845310354635 0.0 -2.8938265209629228e-05 1.3917789538061204e-05 
2595 13.968589544296265 -0.024651696750278215 0.0052403867210065146 0.0 -2.170369890722192e-05 1.0438342153545904e-05 
2596 13.973813772201538 -0.024630451679479286 0.005196213363484802 0.0 -1.627777418041644e-05 7.828756615159428e-06 
2597 13.979023218154907 -0.024614517876380092 0.005163083345343519 0.0 -1.220833063531233e-05 5.871567461369571e-06 
2598 13.984223365783691 -0.024602567524055697 0.005138235831737558 0.0 -9.156247976484248e-06 4.403675596027178e-06 
2599 13.989463329315186 -0.024593604759812395 0.005119600196533085 0.0 -6.867185982363186e-06 3.3027566970203833e-06 
2600 13.99468994140625 -0.024586882686629924 0.00510562347012973 0.0 -5.15038948677239e-06 2.4770675227652876e-06 
